A̱o,Salud,Investigacion,Militar,Educacion
2000,563529348,131060004234314,303168353865852,35112099647522
2001,563529348,13289999961853,332387281880532,370867991447449
2002,563529348,155589997768402,341712762358197,426812982559204
2003,563529348,173979997634888,346398869081496,432513999938965
2004,563529348,169640004634857,346501517406307,407934999465942
2005,563529348,165570005774498,337467969392646,402098989486694
2006,633546638,164269998669624,329582499135229,391671991348267
2007,649102163,183070003986359,328630170949445,408301019668579
2008,684192228,195409998297691,373724698565115,39387800693512
2009,73113451,193509995937347,388696383706353,477651977539062
2010,707130146,193580001592636,363691504613462,483382987976074
2011,678076792,198420003056526,307710698906549,446608018875122
2012,674601603,221159994602203,315600586340429,437038993835449
2013,701724052,257609993219376,327226285651869,487855005264282
2014,718553209,303169995546341,310825884811044,462945985794067
2015,752338552,365420013666153,310996008410671,447038984298706
2016,753117037,270509988069534,307113102611539,447721004486084
2017,767864323,261090010404587,320809672439436,453551006317139
2018,762541437,312330007553101,30332327385044,444910001754761
2019,777954912,322010010480881,314565669372153,451069021224976
2020,871432114,289609998464584,353352644737909,526550006866455